timestamp;energy_used;solar_produced
1580227200;0.567;0.01
1580230800;1.933;0
1580234400;3.229;0
1580238000;1.756;0
1580241600;2.108;0
1580245200;2.219;0
1580248800;0.898;0
1580252400;0.616;0
1580256000;1.695;0
1580259600;2.407;0
1580263200;1.227;0
1580266800;0.47;0
1580270400;0.91;0
1580274000;2.561;0
1580277600;3.785;0
1580281200;1.963;0.03
1580284800;1.312;0.67
1580288400;2.23;1.33
1580292000;2.171;1.35
1580295600;0.404;1.37
1580299200;1.209;1.26
1580302800;1.867;1.24
1580306400;1.973;0.63
1580310000;1.029;0.2
1580313600;0.96;0.01
1580317200;0.595;0
1580320800;3.813;0
1580324400;1.831;0
1580328000;0.318;0
1580331600;0.603;0
1580335200;2.066;0
1580338800;2.446;0
1580342400;0.926;0
1580346000;0.463;0
1580349600;1.213;0
1580353200;2.281;0
1580356800;1.496;0
1580360400;0.517;0
1580364000;2.087;0
1580367600;3.369;0.02
1580371200;2.166;0.32
1580374800;0.497;1.17
1580378400;0.445;1.65
1580382000;1.411;2.05
1580385600;2.315;1.18
1580389200;1.073;0.69
1580392800;0.454;0.14
1580396400;0.841;0.08
1580400000;3.845;0
1580403600;1.831;0
1580407200;0.523;0
1580410800;0.687;0
1580414400;2.165;0
1580418000;3.209;0
1580421600;0.521;0
1580425200;0.424;0
1580428800;0.846;0
1580432400;2.23;0
1580436000;1.42;0
1580439600;0.405;0
1580443200;0.509;0
1580446800;2.063;0
1580450400;3.161;0
1580454000;1.32;0.02
1580457600;1.301;0.16
1580461200;2.889;0.35
1580464800;2.547;0.41
1580468400;1.161;0.51
1580472000;1.351;0.49
1580475600;0.427;0.53
1580479200;2.266;0.26
1580482800;2.424;0.07
1580486400;1.142;0
1580490000;2.23;0
1580493600;1.698;0
1580497200;1.988;0
1580500800;0.949;0
1580504400;0.462;0
1580508000;0.18;0
1580511600;1.964;0
1580515200;2.059;0
1580518800;0.406;0
1580522400;0.405;0
1580526000;1.158;0
1580529600;2.232;0
1580533200;1.003;0
1580536800;0.403;0
1580540400;0.249;0
1580544000;2.739;0.16
1580547600;3.621;0.46
1580551200;2.738;0.62
1580554800;0.222;1.31
1580558400;0.984;1.84
1580562000;1.969;1.6
1580565600;1.057;1.42
